epoch,loss,accuracy,val_loss,val_accuracy
1,1.286531,0.517197,1.147480,0.573215
2,1.072963,0.602160,1.036928,0.615042
3,0.978661,0.639424,0.981863,0.640091
4,0.916344,0.663474,0.951035,0.649967
5,0.870956,0.681110,0.929934,0.660864
6,0.836149,0.695621,0.916229,0.666356
7,0.808201,0.705660,0.903471,0.672824
8,0.786359,0.714614,0.895151,0.677903
9,0.767287,0.721695,0.890850,0.679444
10,0.751502,0.728012,0.887159,0.681767
11,0.737716,0.732537,0.890817,0.683590
12,0.725473,0.736955,0.891739,0.683655
13,0.713930,0.741947,0.897909,0.682961
14,0.663298,0.761130,0.878791,0.693575
15,0.647631,0.766735,0.882242,0.694009
16,0.638944,0.769747,0.886919,0.695116
17,0.631567,0.772417,0.892082,0.692902
18,0.605229,0.782353,0.879734,0.698763
19,0.596390,0.785745,0.881840,0.698915
20,0.590939,0.788322,0.884653,0.698133
21,0.577189,0.793217,0.877471,0.702062
22,0.571812,0.795214,0.879285,0.702540
23,0.568397,0.797162,0.881310,0.702496
24,0.565491,0.798616,0.883454,0.702583
25,0.558030,0.801324,0.879601,0.704081
26,0.555080,0.802963,0.880708,0.704124
27,0.553259,0.803690,0.882073,0.704406
28,0.548848,0.804748,0.880255,0.704471
29,0.547225,0.805725,0.880981,0.704754
